id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgxkAFnR-mY6HqolQFt4AaABAg,Anonymous E957071,1 day ago,1555506699152,Guys can any one please tell me what is the name of this song at 0:43,0,false,0,,,,,,
UgwyOpz8m2taz17oId94AaABAg,t. 20 year old doomer,2 days ago,1555420299153,"I prefer the previous generation, particularly 2014.",0,false,0,,,,,,
UgyGK3UYWztx3N_NmA14AaABAg,Thomas Cox,2 days ago,1555420299155,Nissan needs to make more HP out of the engines. My 06 Altima SE R Has 260HP.,0,true,3,,,,,,
,,,,,,,,UgyGK3UYWztx3N_NmA14AaABAg.8tkoRwlrMx28tr4_C5HMlo,Jose Gap,8 hours ago,1555564299417,"Dude, these are stock. More horsepower and car companies would struggle with pieces/reliability",0
,,,,,,,,UgyGK3UYWztx3N_NmA14AaABAg.8tkoRwlrMx28tr5OLTPicq,Thomas Cox,8 hours ago,1555564299418,Jose Gap my SE R is stock it came with 260hp and the 06-14 Maximum had 290hp. It’s nice to see Nissan using turbos in the Altimas.,0
,,,,,,,,UgyGK3UYWztx3N_NmA14AaABAg.8tkoRwlrMx28tr7Cd8pG7O,Jose Gap,8 hours ago,1555564299419,"@Thomas Cox Yes, but the Maxima is heavier and a higher entry vehicle. If I wanted speed and family size, I would get a an Impala ss or wrx",0
UgzvG5SFcAHICrvVLF54AaABAg,Johnny Kilduff,5 days ago,1555161099157,"I bought my wife a used 2015 Nissan Murano Platinum AWD last year. That car has 10x the premium upgrades than this 2019 Altima. Not impressed at all. ***side note, I'm leasing a 2017 Altima SR. I really enjoy driving it, great fuel economy, good torque, and nice ride. It just lacks modern upgrades you'd find standard in other models. Looks to be the same with 2019 as well",0,false,0,,,,,,
Ugwi1cz-EcT85hBbGlF4AaABAg,Tony,6 days ago,1555074699159,Watch out for what? Our transmission is gonna fail before yours? lol,1,false,0,,,,,,
UgzvJSBAh14X2kzHix94AaABAg,James Choi,1 week ago,1554988299160,I don’t even look at Nissan because of their CVT.  You don’t even need to tell me it’s a CVT and I can tell just by hearing that horrible drone up and down. So unfortunate as I used to like Nissan way back when.,0,false,0,,,,,,
UgzcK9iipBqrCeydTTx4AaABAg,Majestixx __,1 week ago,1554988299162,I wish they would have changed the rear lights... they look old,0,false,0,,,,,,
Ugw6S1clVYxNA29FdKF4AaABAg,Doc Holiday,1 week ago,1554988299163,"I keep my 05 its paid for ,runs great ,fast ...",0,false,0,,,,,,
UgwyWNcCNw_V8_A1IWV4AaABAg,Sic Semper Beats,1 week ago,1554988299164,this is the first time ive ever seen a nissan vehicle with an infotainment system that isnt 2005 blackberry slow,0,false,0,,,,,,
UgyJT70E8GMxehzGV_94AaABAg,Sic Semper Beats,1 week ago,1554988299166,are they ever going to make a sport sedan? jeez it would be cool if they made like a nismo maxima or altima,0,false,0,,,,,,
UgxrGciiJFH_CqVV63N4AaABAg,XeRzclanPR,2 weeks ago,1554383499167,had same key in my 2008 altima lol,0,false,0,,,,,,
UgxWf1JWF86VBN-WJ2l4AaABAg,That One Altima Guy,2 weeks ago,1554383499169,"Redesigns car, still can't use struts for the hood prop",0,false,0,,,,,,
UgxUzum35eN-oU__V8F4AaABAg,Alex Harper,2 weeks ago,1554383499170,"I don’t like the floating roofs either, everybody is doing it.",0,false,0,,,,,,
Ugzroy1PMK9LSsqfnk14AaABAg,Awesome Cpt.,2 weeks ago,1554383499172,Honda Accord 2.0t vs Nissan Altima 2.0t???,0,false,0,,,,,,
UgzU__WiNA6Wk8PALdh4AaABAg,Charles Greene,2 weeks ago,1554383499173,Wanna make this awkward ? Look at his eye pattern.,0,false,0,,,,,,
UgxHqdQ9Ro3N1aTGL2R4AaABAg,Musicmann1022,2 weeks ago,1554383499175,V6 should be the option.  Make the 4 cyl turbo standard.  Thanks.,1,false,0,,,,,,
Ugy_hai9pGDtqJWoDSV4AaABAg,Johnny Dwyer,2 weeks ago,1554383499176,"Let me ask, are those seats the same that's in the SL trim?  If so I would have to say I wasn't sold on that front passenger seat at all.  The seat itself felt way to small and there isn't a option to raise the seat off the floor, or to level out the butt seat. The back just has your butt sit down a little steep still.",0,false,0,,,,,,
UgxFQCVPqM0krJZgyVt4AaABAg,darcygoesfast,2 weeks ago,1554383499178,"sad comment on the buying public who don't demand 3 pedals.  I won't be buying ANY vehicle without manual shift, so suck it Nissan.",0,false,0,,,,,,
Ugxw-mccm5GF-BOvpjJ4AaABAg,Jared Carroll,2 weeks ago,1554383499179,"Man if this car didn't have a CVT, it would be 🔥🔥🔥",16,true,1,,,,,,
,,,,,,,,Ugxw-mccm5GF-BOvpjJ4AaABAg.8t5YoKpvObE8tm29YLHZsK,Autobahn-Tested,2 days ago,1555420299406,"yeah, that's the only thing that worries me about it",0
UgwKobGCV081AhbYPFh4AaABAg,Evil Mofo,2 weeks ago,1554383499181,The popular hood rat nigga Caaar,0,false,0,,,,,,
UgxnwNdvf4YRlFAp16x4AaABAg,audioman628,2 weeks ago,1554383500034,"If I could ask the owner and designers of Nissan I would ask them, why didn't you give the customer (us) the choice of a CVT or a traditional automatic transmission, offer both,  and why the hell did you merge with Renault????? Big mistake.",0,false,0,,,,,,
UgzatNzJotZ_Thwz3VJ4AaABAg,2hot 2handl,3 weeks ago,1553778700036,"Stay away with Nissan its well known CVT failure in no time, you have been warned.",0,false,0,,,,,,
UgxjzV0jpQV4S8qaoSJ4AaABAg,Generation Love,3 weeks ago,1553778700047,"I didn't like the cvt either until I learned the rhythm between lag, and accelertion. I can now keep up with bigger engine vehicles that come with the standard transmission; and I only have/drive the base model versa. The vehicle is designed to not overstress the engine. If you want something that will better allow you to warp the pistons, go wiith another make/model. My complaint is not with Nissan's engine or transmission....yet. However, I do question the suspension system.",1,true,1,,,,,,
,,,,,,,,UgxjzV0jpQV4S8qaoSJ4AaABAg.8t09MQEd_3f8tr4kYb7eS7,Jose Gap,8 hours ago,1555564300312,"Yeah, you get used to it after a while. I don't mind the CVT transmission as long as it's under warranty",0
Ugx0hYWjD9g9a83VidR4AaABAg,Da Gr8one,3 weeks ago,1553778700050,Nissan is known for issues cvt is a major key 🔑. It was also said that they where listed as one of the most unreliable manufacturers. Thanks Renault pos,0,false,0,,,,,,
